"Comment
",Label
"In 2022, I experienced an uncomfortable incident at IUB in an elevator. There were only four of us inside – me another indigenous girl, a woman, and another guy. Out of nowhere, the woman made a comment clearly mocking where I’m from, suggesting that people like us live in Bandarban and implying we’re somehow less knowledgeable or 'modern.' Her comment felt dismissive and offensive.

What made it worse was that the guy in the elevator just laughed along instead of acknowledging how hurtful her remark was. I felt isolated and frustrated, especially since this stereotyping and judgment were the last things I expected to encounter in a diverse environment like IUB.","Insensitive




"
"We are secretly maping to make a new separated country,traitor, out comer. even an  iub meme page shared a random flag  and claimed that we already made our flag and we want separate country.



",offensive
"People often have misconceptions about us and comment really hurtful things about us and  and say disgusting things . If we try to correct them, they become defensive. But never try to understand real facts. people believe rumors and spread false rumors about us. We all experience this in recent incidents this year(2024).



",offensive
"বাঙ্গালীদের একটা বড় কাজ হচ্ছে গুজব ছড়ানো,এবং তাদের ভাইদের দোষ দামাচাপা দেওয়া তাদের নাকি সুনাত।



","Insensitive




"
"“হাড্ডি কখনো গোস্ত হয়না, উপজাতি কখনো দোস্ত হয়না” became a popular expression of ethnic prejudice after Shibli Sadiq Hridoy incident. After the recent conflict, facing more hate speech on sns. People are mocking us for mispronouncing and not speaking Bengali fluently and questioning why we have weapons, even though ordinary people like us don’t.  They are openly promoting ethnic cleansing online, neglecting our existence and ethnicity. There are many more.




","Insensitive




"
"I’m currently pursuing undergraduate degree at a well known university. I’ve always been a privileged kid while growing up. Got better education,better environment. Despite all of that, i get to hear stuffs like, “মামা পাহাড়ে যামু, পাহাড়ি মাল খামু। কি ম্যানেজ করে দিতে পারবি না?” What it meant is the lustful intentional feelings towards hill/indigenous women and the local rice wine as well, depending on the individual. And I’ve always been asked of ~ মামা একটা পাহাড়ি মেয়ে ঠিক করে দে। 
Another thing is being addressed by the title name/surname like ~ ওই চাকমা/মারমা এদিকে আয়, চাকমা তাঁকে ডাক তোহ। This is sometimes offending, to me at least. 
Upojati/chung-chan is also used often.


","Insensitive




"
"Due to oppresive circumstances in cht hill tracts recently what i mostly faced on social media is mocking and demeaning our language and food habbit.Besides because of widely spreading propaganda by huge number of social media vloggers without knowing the proper knowledge and information about history of our ethnicity group they keep labelling us as rebels and isolationists which affects the whole nation mostly.


","Insensitive




"
"There are many people in our society who degrade us in various ways. Like they address us as ""chung chang"" ""tribe"" etc. At present one thing is seen that a section is threatening our tribal women with various forms of sexual harassment including rape threats. 



",offensive
https://www.facebook.com/share/v/14s662KZaK/,"Insensitive




"
https://www.facebook.com/share/p/19mMSdmXtQ/,"Insensitive




"
"1.In our hill tribes the main ingredient we use in our food is 'sidol' in english it is called shrimp paste which is made by several small smashed fish.It has a bit strong smell i agree though.It is typically made in coastal areas mainly with seafood.In our country its main production area is coxbazar i guess or other sea area.There are other sources also i dont have that much idea right now
2.if i have to talk about our food habbit i would say it has come from our ancestors.
3.in our religion there are no restrictions regarding our dietry.



","Insensitive




"
"when we go outside the Chittagong hill tracts for studies we often face bullies in the name of inquisitive friends fellow's questions like do u eat snakes,frog,pork??which makes us feel awkward and lil bit uncomfortable 
and why should make fun of someone's food habbit.We dont belong to same ethnicity  so its quite natural our dietry habbits will be different too.I belive food habbit is a personal thing.You may not eat certain thing not everyone eats same thing.But its true some of our ancestors have ate these food and some still do.


","Insensitive




"
"i think what written in buddhism is killing any living being is a great sin...he did not emphasised specially on any food habbit




","Insensitive




"
"its basically a contradictory content







",offensive
"Back in 2018, during our university admission coaching, my best friend and I had an unsettling experience on our very first day in class. The tutor, who was a Bangla instructor, asked us to stand up and questioned whether we could speak Bangla. He explained that he would need to give extra attention if we couldn’t, mentioning that the previous year, a Chakma girl in his class struggled to understand Bangla.

Despite assuring him that we both spoke and understood Bangla fluently, he seemed reluctant to believe us. His attitude made us feel singled out, as though we were different and didn’t truly belong. It was disheartening to be judged based on assumptions rather than being treated like everyone else.

",offensive
"""একহাতে তালি বাজে না | চাকমাবাসী রা সব
সময় উগ্রতার পরিচয় দিয়েছে | ঢাকায় এসে পড়াশোনা করে গ্রামে গিয়ে এর অপব্যবহার করে | এক কথায় বলতে গেলে যে প্লেটে খায় সে প্লেটে হাগে | নিজের দোষ আর নিজের পাছা দুটোই মানুষ দেখে না |
দেশের সার্বভৌমত্বের জন্য সেনাবাহিনী সব করতে প্রস্তুত | ছোট ছোট দাঙ্গা ঝগড়ার জন্য আপনারা বড় বড় বাহিনী বানিয়ে ফেলবেন আর সেনাবাহিনী তা বসে বসে দেখবে তা তো হবে না |""




",offensive
"""Shourajit Changma mama tui j bolos chakmara eto valo? Jodi valoi hoy taile sajek, rangamati, Khagrachhari esob durgom jaygay jaite kno defence. er protocol lage ko?chakmara
kokhono valo chilo na tar khub valo prove amar baba tini rangamati 15 bochor chilo tar mukhe sunchi chakmara kotota jogonno""





",offensive
"Humiliate tribe female - ""Free sexual relations""



",Insensitive
"""পাহারীদের মেরে ফেলা উচিত, যারা বাংলাদেশী তারাই
থাকবে দেশে...""


",offensive
"""পাহাড়ে সেনাবাহিনী কেন থাকবে? সেই
যদি হয় সমতলেও আজীবন এমন রাখুক।""



",Insensitive
